21,രവിരദനം,സനസ നജന സം ,,25,SNSNJNS
21,നൃപതിലലാമം ,നജയ നയന യം ,,28,NJYNYNY
22,മത്തേഭ സംജ്ഞ ,തഭയ ജസര നഗം ,,29,TBYJSRG
22,ഭദ്രക ,ഭരന രനര നഗം ,,27,BRNRNRG
22,മദിര ,ഭഭഭ ഭഭഭ ഭഗം ,,30,BBBBBBBG
22,തരംഗിണി ,നരന രനര നഗം,,26,NRNRNRG
22,ലക്ഷ്‌മി ,നയ സഭം നനസഗം ,,28,NYSBNNSG
22,കമലദിവാകര  ,നജന സനന മഗം ,,28,NJNSNNMG
23,അശ്വലളിതം,നഭജ ജഭജ ഭലഗം ,,30,NBJJBJBLG
23,മത്താക്രീഡ ,മമത നനന നലഗം ,,32,MMTNNNNLG
23,മഞ്ജുള ,നഭജ ജഭജ ഭലഗം ,,30,NBJJBJBLG
23,സരോജ സമാഖ്യം ,ഭഭഭ ഭഭഭ ഭഗഗം ,,32,BBBBBBBGG
23,മണിഘ്യണി ,നജന സനന ഭഗഗം ,,28,NJNSNNBGG
24,തന്വി ,ഭതന സഭഭം  നയം,,32,BTNSBBNY
24,വിലാസിനി ,നനന നരര രരം ,,32,NNNNRRRR
24,ലളിതം ,നജഭ സജസ ജസം ,,31,NJBSJSJS
24,ക്രൗഞ്ച പാദ,ഭമസ ഭനന നയം ,,32,BMSBNNNY
24,മധുകര കളഭം ,നനഭ മസന നസം ,,33,NNBMSNNNS
24,ഗുണ സദനം,സഭഭ സനജ നസം ,,30,SBBSNJNS
25,കുമുദ്വതീ ,രസജ ജജജ ജ ജംഗം ,,35,RSJJJJJJG
25,മണിമകുടം ,നന ഭസം സന ജനംഗം ,,30,NNBSSNJNG
25,ശശധര ബിംബം ,ഭന ജജം നസ ഭസംഗം ,,32,BNJJNSBSG
26,ഭുജംഗ വിജൃംഭിതം ,മമ തനം നന രസം ലഗം ,,38,MMTNNNRSLG
26,ശുഭനടനം ,ജസ നഭം ജസ നഭം  ലഗം,,33,JSNBJSNBLG
26,കരംഭം ,നജന നസന നഗഗം ,,27,NJNNSNNGG
26,ചന്ദനസാരം ,ഭഭഭഭം ഭഭഭഭം ഗഗം ,,36,BBBBBBBBGG
26,കന്യാമണി ,രജ രജ രജ രജം ലഗം,,39,RJRJRJRJLG
