11,ശേനികാഘ്യ ,,17,RJRLG
18,മല്ലിക ,,26,RJSJBR
8,വിപുല ,,,RMG
8,വിപുല ,,,RML
,(A/V)സൗരഭ-പാദം-33,,,RNBG
11,സ്വാഗത,,16,RNBGG
12,ചന്ദ്രവർത്മ  ,,16,RNBS
18,ഹരനർത്തനം ,"5,8",26,RNJYBR
8,വിപുല ,,,RNL
8,ചപലവക്ത്രം ,,,RNLG
9,ഭദ്രികാ ,,16,RNR
21,കുസുമമഞ്ജരി,,29,RNRNRNR
9,ഫലമുഖി ,,15,RNS
6,രത്നാവലി ,,10,RR
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,RRGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,RRGL
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,RRLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,RRLL
12,സ്രഗ്വിണി ,,20,RRRR
15,ചന്ദ്രരേഖ,,25,RRRRR
16,ഛാന്ദസി ,,27,RRRRRG
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,RSGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,RSGL
25,കുമുദ്വതി ,,35,RSJJJJJJG
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,RSLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,RSLL
8,വിപുല ,,,RTG
8,വിപുല ,,,RTL
8,വിപുല ,,,RYG
8,വിപുല ,,,RYL
24,ഗുണസദനം,,30,SBBSNJNS
21,മനപായം ,,28,SBBSSNY
8,വിപുല ,,,SBL
8,ചപലവക്ത്രം ,,,SBLG
13,വസുധ ,,16,SBNJL
,"(A/V)വിയോഗിനി-പാദം-2,4",,,SBRY
20,വനമാലം ,,28,SBSBSBLG
16,അമലാഖ്യം ,,22,SBSBSG
17,ശ്രവണീയം,,24,SBTYNLG
8,വിപുല ,,,SJG
8,വിപുല ,,,SJL
,"(D)ഇക്ഷുദണ്ഡിക–പാദം-2,4",,,SJNJBJRBN
11,ശുഭചരിതം,,14,SJNLG
15,ദളം ,,18,SJNNS
15,തേലാ ,5,19,SJNNY
,"(A/V)കേതുമതി-പാദം-1,3",,,SJSG
13,മഞ്ജുഭാഷിണി ,,18,SJSJG
,(A/V)ലളിതാ/സൗരഭ/ഉദ്ഗതാ-പാദം-4,,,SJSJG
21,തടിനി ,,28,SJSJSJS
,(A/V)ലളിതാ/സൗരഭ/ഉദ്ഗതാ-പാദം-1 ,,,SJSL
12,പ്രമിതാക്ഷര ,,16,SJSS
13,സരസാഖ്യ ,,18,SJSSG
14,പത്ഥ്യാ(മഞ്ജരി),5,20,SJSYLG
8,വിപുല ,,,SMG
8,വിപുല ,,,SML
18,ശങ്കരചരിതം ,,22,SNJNBS
13,ദൂഷണഹരണം ,,16,SNJNG
14,ശുഭഗതി ,,16,SNJNLL
,(A/V)ഉപസ്ഥിതപ്രചൂപിത/ വർദ്ധമാന/ ശുദ്ധവിരാടാർഷഭം–പാദം-2,,,SNJRG
8,വിപുല ,,,SNL
8,ചപലവക്ത്രം ,,,SNLG
14,കരുണാകരം ,,16,SNNNLG
19,കുലപാലം ,,23,SNNNSSG
